¿Cuál es la capital de Francia?,París,Berlín,Londres,Roma,París
¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Yangtsé,Misisipi,Amazonas
¿Quién pintó La Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,Leonardo da Vinci
¿En qué país se encuentra la Gran Muralla China?,China,Japón,India,Rusia,China
¿Cuál es el océano más grande del mundo?,Pacífico,Atlántico,Índico,Ártico,Pacífico
¿Cuál es la montaña más alta del mundo?,Monte Everest,K2,Kangchenjunga,Makalu,Monte Everest
¿Cuál es el metal más precioso?,Oro,Plata,Platino,Cobre,Oro
¿Cuál es el idioma más hablado del mundo?,Chino mandarín,Español,Inglés,Hindi,Chino mandarín
¿Cuál es el país más poblado del mundo?,China,India,Estados Unidos,Indonesia,China
¿Quién escribió el libro "Don Quijote de la Mancha"?,Miguel de Cervantes,Gabriel García Márquez,William Shakespeare,Jorge Luis Borges,Miguel de Cervantes
¿Cuál es la ciudad más poblada del mundo?,Tokio,Delhi,Shanghái,Mumbai,Tokio
¿Cuál es el instrumento musical más antiguo del mundo?,Flauta,Arpa,Tambor,Guitarra,Flauta
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Neptuno,Urano,Júpiter
¿Quién descubrió la penicilina?,Alexander Fleming,Albert Einstein,Isaac Newton,Marie Curie,Alexander Fleming
¿En qué año comenzó la Segunda Guerra Mundial?,1939,1945,1914,1941,1939
¿Cuál es el país más grande del mundo?,Rusia,Canadá,China,Estados Unidos,Rusia
¿Quién escribió la obra "Romeo y Julieta"?,William Shakespeare,Miguel de Cervantes,Franz Kafka,Virginia Woolf,William Shakespeare
¿Cuál es el continente más grande del mundo?,Asia,África,América,Europa,Asia
¿En qué año se fundó Facebook?,2004,2008,2006,2010,2004
¿Cuál es la fecha de la independencia de Estados Unidos?,4 de julio de 1776,15 de septiembre de 1821,14 de julio de 1789,20 de julio de 1810,4 de julio de 1776
¿Quién pintó "La noche estrellada"?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Salvador Dalí,Vincent van Gogh
¿Cuál es el metal más abundante en la corteza terrestre?,Aluminio,Hierro,Cobre,Plata,Aluminio
¿Cuál es el autor de "Cien años de soledad"?,Gabriel García Márquez,Pablo Neruda,Jorge Luis Borges,Octavio Paz,Gabriel García Márquez
¿En qué año se realizó el primer viaje a la luna?,1969,1975,1961,1972,1969
¿Cuál es la moneda oficial de Japón?,Yen,Dólar,Euro,Libra,Yen
¿Cuál es el animal más grande del mundo?,Ballena azul,Elefante,Girafa,Rinoceronte,Ballena azul
¿Quién escribió "1984"?,George Orwell,Aldous Huxley,Ray Bradbury,J.R.R. Tolkien,George Orwell
¿Cuál es el país más pequeño del mundo?,Ciudad del Vaticano,Mónaco,Tuvalu,Nauru,Ciudad del Vaticano
¿Cuál es la capital de Australia?,Camberra,Sídney,Melbourne,Adelaida,Camberra
¿Cuál es el país con más medallas olímpicas?,Estados Unidos,Rusia,China,Alemania,Estados Unidos
¿Cuál es el escritor de la famosa obra "Hamlet"?,William Shakespeare,Miguel de Cervantes,Franz Kafka,Virginia Woolf,William Shakespeare
¿Cuál es el océano más profundo del mundo?,Pacífico,Atlántico,Índico,Ártico,Pacífico
¿Cuál es el país con la mayor extensión territorial en América Latina?,Brasil,Argentina,México,Colombia,Brasil
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Abraham Lincoln,Thomas Jefferson,John F. Kennedy,George Washington
¿Cuál es el año de la primera expedición de Cristóbal Colón a América?,1492,1500,1453,1512,1492
¿Cuál es el símbolo químico del oro?,Au,Ag,Pt,Cu,Au
¿Cuál es el país con la mayor población en Europa?,Rusia,Alemania,Francia,Reino Unido,Rusia
¿Cuál es el autor de "El principito"?,Antoine de Saint-Exupéry,Pablo Neruda,Franz Kafka,Mario Vargas Llosa,Antoine de Saint-Exupéry
¿En qué año se llevó a cabo la Revolución Rusa?,1917,1905,1921,1914,1917
¿Cuál es el animal más rápido del mundo?,Guepardo,Leopardo,Tigre,Aguila,Guepardo
¿Quién pintó "La persistencia de la memoria"?,Salvador Dalí,Pablo Picasso,Leonardo da Vinci,Vincent van Gogh,Salvador Dalí
¿Cuál es el país más visitado del mundo?,Francia,España,Estados Unidos,Italia,Francia
¿Cuál es el elemento químico más abundante en el universo?,Hidrógeno,Helio,Oxígeno,Carbono,Hidrógeno
¿Quién escribió "Las aventuras de Tom Sawyer"?,Mark Twain,Jane Austen,Charles Dickens,Herman Melville,Mark Twain
¿Cuál es la fecha de la independencia de México?,16 de septiembre de 1810,5 de mayo de 1862,20 de noviembre de 1910,1 de julio de 1823,16 de septiembre de 1810
¿Cuál es el país con la mayor producción de petróleo?,Arabia Saudita,Rusia,Estados Unidos,Irán,Arabia Saudita
¿Quién pintó "La última cena"?,Leonardo da Vinci,Michelangelo,Rembrandt,Vincent van Gogh,Leonardo da Vinci
